orbit_height_km,transmission_power_W,num_users,compliance_ratio_djscc,compliance_ratio_ldpc
400.0,0.1,3,1.0,0.0
400.0,1.0,3,1.0,0.3333333333333333
400.0,5.0,3,1.0,0.6666666666666666
400.0,7.0,3,1.0,1.0
400.0,10.0,3,1.0,1.0
400.0,50.0,3,1.0,1.0
400.0,75.0,3,1.0,1.0
400.0,100.0,3,1.0,1.0
600.0,0.1,3,1.0,0.0
600.0,1.0,3,1.0,0.3333333333333333
600.0,5.0,3,1.0,0.3333333333333333
600.0,7.0,3,1.0,0.6666666666666666
600.0,10.0,3,1.0,0.6666666666666666
600.0,50.0,3,1.0,1.0
600.0,75.0,3,1.0,1.0
600.0,100.0,3,1.0,1.0
1000.0,0.1,3,1.0,0.0
1000.0,1.0,3,1.0,0.0
1000.0,5.0,3,1.0,0.3333333333333333
1000.0,7.0,3,1.0,0.3333333333333333
1000.0,10.0,3,1.0,0.3333333333333333
1000.0,50.0,3,1.0,1.0
1000.0,75.0,3,1.0,1.0
1000.0,100.0,3,1.0,1.0
